Здравствуйте, данную лабораторную работу выполнил Ахметзянов Дамир Альбертович, группа 1309
Версия: 3.0
Начало: 10.10.2021
Конец: -
Формула: 9.10
n    i
__  2 * i!     i
\  ________ * x
/_   i^i
i=1
X: 1.1
eps:1e-30
n = 677
An = 1.05237e-30
Сумма = 33.7925236
              i |              Fi |               S |
            132 |  6.82960047e-06 |      33.7924641 | 
            133 |  5.62815056e-06 |      33.7924697 | 
            134 |   5.5481481e-06 |      33.7924752 | 
            135 |  4.57200178e-06 |      33.7924798 | 
            136 |   4.5068888e-06 |      33.7924843 | 
            137 |  3.71384245e-06 |       33.792488 | 
            138 |  3.66085382e-06 |      33.7924917 | 
            139 |  3.01659944e-06 |      33.7924947 | 
            140 |  2.97348221e-06 |      33.7924977 | 
            141 |  2.45013238e-06 |      33.7925001 | 
            142 |  2.41505125e-06 |      33.7925025 | 
            143 |  1.98993922e-06 |      33.7925045 | 
            144 |  1.96139932e-06 |      33.7925065 | 
            145 |  1.61610299e-06 |      33.7925081 | 
            146 |  1.59288688e-06 |      33.7925097 | 
            147 |  1.31243495e-06 |       33.792511 | 
            148 |  1.29355132e-06 |      33.7925123 | 
            149 |  1.06577768e-06 |      33.7925134 | 
            150 |  1.05041941e-06 |      33.7925144 | 
            151 |  8.65438208e-07 |      33.7925153 | 
            152 |  8.52948244e-07 |      33.7925161 | 
            153 |  7.02726982e-07 |      33.7925168 | 
            154 |  6.92570498e-07 |      33.7925175 | 
            155 |  5.70582964e-07 |      33.7925181 | 
            156 |  5.62324673e-07 |      33.7925187 | 
            157 |  4.63268796e-07 |      33.7925191 | 
            158 |  4.56554468e-07 |      33.7925196 | 
            159 |  3.76122943e-07 |        33.79252 | 
            160 |  3.70664337e-07 |      33.7925203 | 
            161 |  3.05358186e-07 |      33.7925206 | 
            162 |  3.00920783e-07 |      33.7925209 | 
            163 |   2.4789781e-07 |      33.7925212 | 
            164 |  2.44290821e-07 |      33.7925214 | 
            165 |  2.01242452e-07 |      33.7925216 | 
            166 |  1.98310678e-07 |      33.7925218 | 
            167 |  1.63361866e-07 |       33.792522 | 
            168 |   1.6097907e-07 |      33.7925222 | 
            169 |   1.3260696e-07 |      33.7925223 | 
            170 |  1.30670472e-07 |      33.7925224 | 
            171 |  1.07638309e-07 |      33.7925225 | 
            172 |  1.06064634e-07 |      33.7925226 | 
            173 |  8.73680573e-08 |      33.7925227 | 
            174 |  8.60892981e-08 |      33.7925228 | 
            175 |  7.09127111e-08 |      33.7925229 | 
            176 |  6.98736613e-08 |      33.7925229 | 
            177 |  5.75547837e-08 |       33.792523 | 
            178 |  5.67105578e-08 |      33.7925231 | 
            179 |   4.6711628e-08 |      33.7925231 | 
            180 |  4.60257349e-08 |      33.7925232 | 
            181 |  3.79101172e-08 |      33.7925232 | 
            182 |  3.73528925e-08 |      33.7925232 | 
            183 |  3.07660747e-08 |      33.7925233 | 
            184 |  3.03134055e-08 |      33.7925233 | 
            185 |  2.49675644e-08 |      33.7925233 | 
            186 |  2.45998514e-08 |      33.7925233 | 
            187 |  2.02613168e-08 |      33.7925234 | 
            188 |  1.99626308e-08 |      33.7925234 | 
            189 |   1.6441704e-08 |      33.7925234 | 
            190 |  1.61990992e-08 |      33.7925234 | 
            191 |  1.33417842e-08 |      33.7925234 | 
            192 |  1.31447402e-08 |      33.7925234 | 
            193 |  1.08260287e-08 |      33.7925234 | 
            194 |  1.06659968e-08 |      33.7925235 | 
            195 |  8.78441522e-09 |      33.7925235 | 
            196 |  8.65444918e-09 |      33.7925235 | 
            197 |  7.12763078e-09 |      33.7925235 | 
            198 |  7.02208667e-09 |      33.7925235 | 
            199 |  5.78317612e-09 |      33.7925235 | 
            200 |  5.69746852e-09 |      33.7925235 | 
            201 |  4.69220251e-09 |      33.7925235 | 
            202 |  4.62260621e-09 |      33.7925235 | 
            203 |  3.80694321e-09 |      33.7925235 | 
            204 |  3.75043193e-09 |      33.7925235 | 
            205 |  3.08862782e-09 |      33.7925235 | 
            206 |  3.04274326e-09 |      33.7925235 | 
            207 |  2.50578896e-09 |      33.7925235 | 
            208 |  2.46853428e-09 |      33.7925235 | 
            209 |  2.03288744e-09 |      33.7925235 | 
            210 |  2.00264071e-09 |      33.7925235 | 
            211 |  1.64919609e-09 |      33.7925235 | 
            212 |  1.62463997e-09 |      33.7925235 | 
            213 |  1.33789356e-09 |      33.7925235 | 
            214 |  1.31795816e-09 |      33.7925235 | 
            215 |  1.08532878e-09 |      33.7925235 | 
            216 |   1.0691452e-09 |      33.7925235 | 
            217 |  8.80423727e-10 |      33.7925235 | 
            218 |  8.67286333e-10 |      33.7925235 | 
            219 |  7.14188725e-10 |      33.7925235 | 
            220 |  7.03524512e-10 |      33.7925235 | 
            221 |  5.79328962e-10 |      33.7925235 | 
            222 |  5.70672631e-10 |      33.7925235 | 
            223 |  4.69925111e-10 |      33.7925235 | 
            224 |  4.62898845e-10 |      33.7925235 | 
            225 |    3.811741e-10 |      33.7925235 | 
            226 |  3.75471126e-10 |      33.7925235 | 
            227 |  3.09178714e-10 |      33.7925235 | 
            228 |  3.04549955e-10 |      33.7925235 | 
            229 |  2.50776831e-10 |      33.7925235 | 
            230 |  2.47020063e-10 |      33.7925235 | 
            231 |  2.03402834e-10 |      33.7925235 | 
            232 |  2.00353878e-10 |      33.7925235 | 
            233 |  1.64975137e-10 |      33.7925235 | 
            234 |  1.62500708e-10 |      33.7925236 | 
