Здравствуйте, данную лабораторную работу выполнил Ахметзянов Дамир Альбертович, группа 1309
Версия: 3.0
Начало: 10.10.2021
Конец: -
Формула: 9.10
n    i
__  2 * i!     i
\  ________ * x
/_   i^i
i=1
X: 1.1
eps:1e-30
n = 677
An = 1.05237e-30
Сумма = 33.7925236
              i |              Fi |               S |
            545 |  9.49510929e-25 |      33.7925236 | 
            546 |  9.34699182e-25 |      33.7925236 | 
            547 |  7.69175402e-25 |      33.7925236 | 
            548 |  7.57175507e-25 |      33.7925236 | 
            549 |  6.23087959e-25 |      33.7925236 | 
            550 |  6.13366155e-25 |      33.7925236 | 
            551 |  5.04744846e-25 |      33.7925236 | 
            552 |  4.96868687e-25 |      33.7925236 | 
            553 |    4.088773e-25 |      33.7925236 | 
            554 |  4.02496423e-25 |      33.7925236 | 
            555 |  3.31217055e-25 |      33.7925236 | 
            556 |  3.26047603e-25 |      33.7925236 | 
            557 |  2.68306364e-25 |      33.7925236 | 
            558 |  2.64118362e-25 |      33.7925236 | 
            559 |  2.17344103e-25 |      33.7925236 | 
            560 |   2.1395123e-25 |      33.7925236 | 
            561 |   1.7606108e-25 |      33.7925236 | 
            562 |  1.73312385e-25 |      33.7925236 | 
            563 |  1.42619033e-25 |      33.7925236 | 
            564 |  1.40392219e-25 |      33.7925236 | 
            565 |  1.15528795e-25 |      33.7925236 | 
            566 |  1.13724783e-25 |      33.7925236 | 
            567 |  9.35840087e-26 |      33.7925236 | 
            568 |  9.21225268e-26 |      33.7925236 | 
            569 |  7.58074165e-26 |      33.7925236 | 
            570 |  7.46234328e-26 |      33.7925236 | 
            571 |  6.14073577e-26 |      33.7925236 | 
            572 |  6.04481859e-26 |      33.7925236 | 
            573 |  4.97425214e-26 |      33.7925236 | 
            574 |  4.89654777e-26 |      33.7925236 | 
            575 |   4.0293395e-26 |      33.7925236 | 
            576 |  3.96638991e-26 |      33.7925236 | 
            577 |  3.26391331e-26 |      33.7925236 | 
            578 |  3.21291701e-26 |      33.7925236 | 
            579 |  2.64388201e-26 |      33.7925236 | 
            580 |  2.60256937e-26 |      33.7925236 | 
            581 |  2.14162896e-26 |      33.7925236 | 
            582 |  2.10816128e-26 |      33.7925236 | 
            583 |   1.7347828e-26 |      33.7925236 | 
            584 |  1.70767048e-26 |      33.7925236 | 
            585 |  1.40522125e-26 |      33.7925236 | 
            586 |  1.38325752e-26 |      33.7925236 | 
            587 |  1.13826412e-26 |      33.7925236 | 
            588 |  1.12047132e-26 |      33.7925236 | 
            589 |   9.2201954e-27 |      33.7925236 | 
            590 |  9.07605667e-27 |      33.7925236 | 
            591 |  7.46854419e-27 |      33.7925236 | 
            592 |  7.35177839e-27 |      33.7925236 | 
            593 |   6.0496541e-27 |      33.7925236 | 
            594 |  5.95506326e-27 |      33.7925236 | 
            595 |   4.9003139e-27 |      33.7925236 | 
            596 |  4.82368704e-27 |      33.7925236 | 
            597 |  3.96931928e-27 |      33.7925236 | 
            598 |  3.90724503e-27 |      33.7925236 | 
            599 |  3.21519228e-27 |      33.7925236 | 
            600 |  3.16490705e-27 |      33.7925236 | 
            601 |  2.60433388e-27 |      33.7925236 | 
            602 |  2.56359885e-27 |      33.7925236 | 
            603 |   2.1095274e-27 |      33.7925236 | 
            604 |   2.0765289e-27 |      33.7925236 | 
            605 |  1.70872624e-27 |      33.7925236 | 
            606 |  1.68199502e-27 |      33.7925236 | 
            607 |  1.38407181e-27 |      33.7925236 | 
            608 |  1.36241762e-27 |      33.7925236 | 
            609 |    1.121098e-27 |      33.7925236 | 
            610 |  1.10355663e-27 |      33.7925236 | 
            611 |  9.08086813e-28 |      33.7925236 | 
            612 |  8.93877141e-28 |      33.7925236 | 
            613 |   7.3554627e-28 |      33.7925236 | 
            614 |  7.24035537e-28 |      33.7925236 | 
            615 |  5.95787618e-28 |      33.7925236 | 
            616 |  5.86463225e-28 |      33.7925236 | 
            617 |   4.8258276e-28 |      33.7925236 | 
            618 |  4.75029459e-28 |      33.7925236 | 
            619 |   3.9088679e-28 |      33.7925236 | 
            620 |  3.84768197e-28 |      33.7925236 | 
            621 |  3.16613227e-28 |      33.7925236 | 
            622 |  3.11656842e-28 |      33.7925236 | 
            623 |  2.56451941e-28 |      33.7925236 | 
            624 |  2.52437019e-28 |      33.7925236 | 
            625 |  2.07721673e-28 |      33.7925236 | 
            626 |  2.04469393e-28 |      33.7925236 | 
            627 |  1.68250561e-28 |      33.7925236 | 
            628 |  1.65616067e-28 |      33.7925236 | 
            629 |  1.36279374e-28 |      33.7925236 | 
            630 |   1.3414532e-28 |      33.7925236 | 
            631 |  1.10383114e-28 |      33.7925236 | 
            632 |  1.08654444e-28 |      33.7925236 | 
            633 |  8.94075237e-29 |      33.7925236 | 
            634 |  8.80072349e-29 |      33.7925236 | 
            635 |  7.24176469e-29 |      33.7925236 | 
            636 |   7.1283363e-29 |      33.7925236 | 
            637 |  5.86561667e-29 |      33.7925236 | 
            638 |  5.77373588e-29 |      33.7925236 | 
            639 |   4.7509655e-29 |      33.7925236 | 
            640 |  4.67653923e-29 |      33.7925236 | 
            641 |  3.84812362e-29 |      33.7925236 | 
            642 |  3.78783622e-29 |      33.7925236 | 
            643 |  3.11684424e-29 |      33.7925236 | 
            644 |  3.06800986e-29 |      33.7925236 | 
            645 |  2.52452767e-29 |      33.7925236 | 
            646 |  2.48497066e-29 |      33.7925236 | 
            647 |  2.04476842e-29 |      33.7925236 | 
            648 |  2.01272638e-29 |      33.7925236 | 
            649 |  1.65617829e-29 |      33.7925236 | 
            650 |  1.63022363e-29 |      33.7925236 | 
            651 |  1.34143309e-29 |      33.7925236 | 
            652 |  1.32040938e-29 |      33.7925236 | 
            653 |  1.08650048e-29 |      33.7925236 | 
            654 |  1.06947096e-29 |      33.7925236 | 
            655 |  8.80014469e-30 |      33.7925236 | 
            656 |   8.6622035e-30 |      33.7925236 | 
            657 |  7.12768819e-30 |      33.7925236 | 
            658 |  7.01595443e-30 |      33.7925236 | 
            659 |  5.77306662e-30 |      33.7925236 | 
            660 |  5.68256138e-30 |      33.7925236 | 
            661 |  4.67588097e-30 |      33.7925236 | 
            662 |  4.60257121e-30 |      33.7925236 | 
            663 |  3.78720952e-30 |      33.7925236 | 
            664 |  3.72782837e-30 |      33.7925236 | 
            665 |  3.06742698e-30 |      33.7925236 | 
            666 |  3.01932816e-30 |      33.7925236 | 
            667 |  2.48443794e-30 |      33.7925236 | 
            668 |  2.44547794e-30 |      33.7925236 | 
            669 |  2.01224612e-30 |      33.7925236 | 
            670 |  1.98068864e-30 |      33.7925236 | 
            671 |  1.62979535e-30 |      33.7925236 | 
            672 |  1.60423396e-30 |      33.7925236 | 
            673 |  1.32003088e-30 |      33.7925236 | 
            674 |  1.29932634e-30 |      33.7925236 | 
            675 |  1.06913894e-30 |      33.7925236 | 
            676 |  1.05236846e-30 |      33.7925236 | 
